16:12:32.827	SERVER	admin	OK	Server was started (port: 1984).
16:13:23.660	127.0.0.1:62641	admin	REQUEST	OPEN f1	51.84 ms
16:13:23.866	127.0.0.1:62641	admin	OK	Database 'f1' was opened in 196.78 ms.	205.81 ms
16:13:40.658	127.0.0.1:62641	admin	REQUEST	OPEN f1	0.48 ms
16:13:40.659	127.0.0.1:62641	admin	OK	Database 'f1' was opened in 0.04 ms.	0.47 ms
16:13:40.661	127.0.0.1:62641	admin	REQUEST	DELETE RSS	1.2 ms
16:13:40.687	127.0.0.1:62641	admin	OK	1 resource(s) deleted in 17.07 ms.	26.8 ms
16:13:43.341	127.0.0.1:62641	admin	REQUEST	ADD TO RSS [...]	1.63 ms
16:13:43.704	127.0.0.1:62641	admin	OK	Resource(s) added in 348.24 ms.	362.65 ms
16:13:43.708	127.0.0.1:62641	admin	REQUEST	XQUERY <root>{ for $i in collection('f1')//item[position()<6] return <elem> {$i/title} {$i/pubDate} {$i/author} {$i/link} {$i/description} </elem>} </root>	3.09 ms
16:13:44.341	127.0.0.1:62641	admin	OK	Query executed in 627.31 ms.	632.66 ms
16:13:48.412	127.0.0.1:62641	admin	REQUEST	OPEN f1	0.64 ms
16:13:48.412	127.0.0.1:62641	admin	OK	Database 'f1' was opened in 0.03 ms.	0.39 ms
16:13:48.413	127.0.0.1:62641	admin	REQUEST	DELETE RSS	0.42 ms
16:13:48.419	127.0.0.1:62641	admin	OK	1 resource(s) deleted in 1.58 ms.	6.3 ms
16:13:50.744	127.0.0.1:62641	admin	REQUEST	ADD TO RSS [...]	0.24 ms
16:13:50.772	127.0.0.1:62641	admin	OK	Resource(s) added in 23.28 ms.	27.34 ms
16:13:50.773	127.0.0.1:62641	admin	REQUEST	XQUERY <root>{ for $i in collection('f1')//item[position()<6] return <elem> {$i/title} {$i/pubDate} {$i/author} {$i/link} {$i/description} </elem>} </root>	0.51 ms
16:13:50.796	127.0.0.1:62641	admin	OK	Query executed in 22.82 ms.	23.48 ms
16:14:57.590	127.0.0.1:62663	admin	REQUEST	OPEN f1	0.33 ms
16:14:57.593	127.0.0.1:62663	admin	OK	Database 'f1' was opened in 2.47 ms.	2.75 ms
16:14:57.899	127.0.0.1:62663	admin	REQUEST	OPEN f1	1.2 ms
16:14:57.899	127.0.0.1:62663	admin	OK	Database 'f1' was opened in 0.03 ms.	0.36 ms
16:14:57.900	127.0.0.1:62663	admin	REQUEST	DELETE RSS	0.61 ms
16:14:57.905	127.0.0.1:62663	admin	OK	1 resource(s) deleted in 1.42 ms.	5.04 ms
