00:20:04.903	SERVER	admin	OK	Server was started (port: 1984).
00:23:23.667	127.0.0.1:50568	admin	REQUEST	OPEN f1	32.86 ms
00:23:23.803	127.0.0.1:50568	admin	OK	Database 'f1' was opened in 131.11 ms.	135.83 ms
00:23:28.103	127.0.0.1:50568	admin	REQUEST	OPEN f1	0.84 ms
00:23:28.103	127.0.0.1:50568	admin	OK	Database 'f1' was opened in 0.09 ms.	0.63 ms
00:23:28.105	127.0.0.1:50568	admin	REQUEST	DELETE RSS	1.68 ms
00:23:28.140	127.0.0.1:50568	admin	OK	1 resource(s) deleted in 16.22 ms.	35.1 ms
00:23:28.142	127.0.0.1:50568	admin	REQUEST	DELETE rssf1.xml	0.94 ms
00:23:28.146	127.0.0.1:50568	admin	OK	0 resource(s) deleted in 1.7 ms.	3.79 ms
00:23:30.854	127.0.0.1:50568	admin	REQUEST	ADD TO RSS [...]	1.42 ms
00:23:31.091	127.0.0.1:50568	admin	OK	Resource(s) added in 226.47 ms.	236.92 ms
00:23:31.093	127.0.0.1:50568	admin	OK	QUERY[0] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:rss()	2.68 ms
00:23:31.758	127.0.0.1:50568	admin	OK	EXEC[0]	663.42 ms
00:23:35.019	127.0.0.1:50568	admin	OK	QUERY[1] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:drivers($ano)	0.27 ms
00:23:35.029	127.0.0.1:50568	admin	OK	BIND[1] $ano=2020	9.44 ms
00:23:35.067	127.0.0.1:50568	admin	OK	EXEC[1]	37.71 ms
00:23:41.849	127.0.0.1:50568	admin	REQUEST	OPEN f1	0.55 ms
00:23:41.849	127.0.0.1:50568	admin	OK	Database 'f1' was opened in 0.03 ms.	0.41 ms
00:23:41.850	127.0.0.1:50568	admin	REQUEST	DELETE RSS	0.5 ms
00:23:41.857	127.0.0.1:50568	admin	OK	1 resource(s) deleted in 1.22 ms.	6.76 ms
00:23:41.857	127.0.0.1:50568	admin	REQUEST	DELETE rssf1.xml	0.34 ms
00:23:41.860	127.0.0.1:50568	admin	OK	0 resource(s) deleted in 0.93 ms.	2.99 ms
00:23:45.104	127.0.0.1:50568	admin	REQUEST	ADD TO RSS [...]	0.27 ms
00:23:45.144	127.0.0.1:50568	admin	OK	Resource(s) added in 31.79 ms.	40.09 ms
00:23:45.144	127.0.0.1:50568	admin	OK	QUERY[2] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:rss()	0.14 ms
00:23:45.168	127.0.0.1:50568	admin	OK	EXEC[2]	23.44 ms
00:24:36.172	127.0.0.1:50568	admin	OK	QUERY[3] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:drivers($ano)	0.19 ms
00:24:36.172	127.0.0.1:50568	admin	OK	BIND[3] $ano=2020	0.14 ms
00:24:36.188	127.0.0.1:50568	admin	OK	EXEC[3]	15.14 ms
00:24:41.232	127.0.0.1:50568	admin	OK	QUERY[4] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:constructors($ano)	0.28 ms
00:24:41.232	127.0.0.1:50568	admin	OK	BIND[4] $ano=2020	0.17 ms
00:24:41.249	127.0.0.1:50568	admin	OK	EXEC[4]	15.97 ms
00:24:43.343	127.0.0.1:50568	admin	OK	QUERY[5] import module namespace f1_methods = 'com.f1'; f1_methods:tracks()	0.44 ms
00:24:43.455	127.0.0.1:50568	admin	OK	EXEC[5]	109.98 ms
00:24:49.131	127.0.0.1:50568	admin	OK	QUERY[6] import module namespace f1_methods = 'com.f1'; f1_methods:tracks()	0.15 ms
00:24:49.162	127.0.0.1:50568	admin	OK	EXEC[6]	30.78 ms
00:24:50.883	127.0.0.1:50568	admin	OK	QUERY[7] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:constructors($ano)	0.18 ms
00:24:50.883	127.0.0.1:50568	admin	OK	BIND[7] $ano=2020	0.21 ms
00:24:50.894	127.0.0.1:50568	admin	OK	EXEC[7]	9.98 ms
00:25:12.515	127.0.0.1:50568	admin	REQUEST	OPEN f1	1.07 ms
00:25:12.516	127.0.0.1:50568	admin	OK	Database 'f1' was opened in 0.02 ms.	0.43 ms
00:25:12.516	127.0.0.1:50568	admin	REQUEST	DELETE RSS	0.29 ms
00:25:12.522	127.0.0.1:50568	admin	OK	1 resource(s) deleted in 1.17 ms.	5.56 ms
00:25:12.523	127.0.0.1:50568	admin	REQUEST	DELETE rssf1.xml	0.36 ms
00:25:12.525	127.0.0.1:50568	admin	OK	0 resource(s) deleted in 1.14 ms.	2.42 ms
00:25:14.571	127.0.0.1:50568	admin	REQUEST	ADD TO RSS [...]	0.15 ms
00:25:14.588	127.0.0.1:50568	admin	OK	Resource(s) added in 13.1 ms.	17.39 ms
00:25:14.588	127.0.0.1:50568	admin	OK	QUERY[8] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:rss()	0.08 ms
00:25:14.603	127.0.0.1:50568	admin	OK	EXEC[8]	14.62 ms
00:25:22.244	127.0.0.1:50568	admin	OK	QUERY[9] import module namespace f1_methods = 'com.f1'; declare variable $ano external; f1_methods:drivers($ano)	0.17 ms
