17:18:26.016	SERVER	admin	OK	Server was started (port: 1984).
17:19:44.029	127.0.0.1:54133	admin	REQUEST	OPEN f1	43.87 ms
17:19:44.247	127.0.0.1:54133	admin	OK	Database 'f1' was opened in 206.86 ms.	217.72 ms
17:19:44.250	127.0.0.1:54133	admin	REQUEST	DELETE rssf1.xml	2.59 ms
17:19:44.268	127.0.0.1:54133	admin	OK	0 resource(s) deleted in 15.22 ms.	17.46 ms
17:19:47.048	127.0.0.1:54133	admin	REQUEST	ADD TO RSS [...]	1.75 ms
17:19:47.396	127.0.0.1:54133	admin	OK	Resource(s) added in 331.87 ms.	349.46 ms
17:19:47.399	127.0.0.1:54133	admin	REQUEST	XQUERY <root>{ for $i in collection('f1')//item[position()<6] return <elem> {$i/title} {$i/pubDate} {$i/author} {$i/link} {$i/description} </elem>} </root>	1.97 ms
17:19:48.214	127.0.0.1:54133	admin	OK	Query executed in 803.64 ms.	814.99 ms
17:19:48.531	127.0.0.1:54133	admin	REQUEST	OPEN f1	0.38 ms
17:19:48.531	127.0.0.1:54133	admin	OK	Database 'f1' was opened in 0.03 ms.	0.27 ms
17:19:48.532	127.0.0.1:54133	admin	REQUEST	DELETE rssf1.xml	0.24 ms
17:19:48.534	127.0.0.1:54133	admin	OK	0 resource(s) deleted in 0.96 ms.	1.88 ms
17:19:50.414	127.0.0.1:54133	admin	REQUEST	ADD TO RSS [...]	0.2 ms
17:19:50.442	127.0.0.1:54133	admin	OK	Resource(s) added in 21.28 ms.	27.77 ms
17:19:50.442	127.0.0.1:54133	admin	REQUEST	XQUERY <root>{ for $i in collection('f1')//item[position()<6] return <elem> {$i/title} {$i/pubDate} {$i/author} {$i/link} {$i/description} </elem>} </root>	0.37 ms
17:19:50.519	127.0.0.1:54133	admin	OK	Query executed in 75.91 ms.	76.86 ms
17:19:59.866	127.0.0.1:54133	admin	REQUEST	OPEN f1	0.44 ms
17:19:59.866	127.0.0.1:54133	admin	OK	Database 'f1' was opened in 0.02 ms.	0.27 ms
17:19:59.866	127.0.0.1:54133	admin	REQUEST	DELETE rssf1.xml	0.25 ms
17:19:59.868	127.0.0.1:54133	admin	OK	0 resource(s) deleted in 0.93 ms.	1.72 ms
17:20:01.902	127.0.0.1:54133	admin	REQUEST	ADD TO RSS [...]	0.17 ms
17:20:01.928	127.0.0.1:54133	admin	OK	Resource(s) added in 20.59 ms.	25.96 ms
17:20:01.929	127.0.0.1:54133	admin	REQUEST	XQUERY <root>{ for $i in collection('f1')//item[position()<6] return <elem> {$i/title} {$i/pubDate} {$i/author} {$i/link} {$i/description} </elem>} </root>	0.45 ms
17:20:02.037	127.0.0.1:54133	admin	OK	Query executed in 107.58 ms.	108.15 ms
17:28:05.479	127.0.0.1:54179	admin	REQUEST	OPEN f1	0.63 ms
17:28:05.484	127.0.0.1:54179	admin	OK	Database 'f1' was opened in 4.47 ms.	4.9 ms
17:28:05.485	127.0.0.1:54179	admin	REQUEST	DELETE rssf1.xml	0.44 ms
17:28:05.491	127.0.0.1:54179	admin	OK	1 resource(s) deleted in 2.02 ms.	6.86 ms
17:28:07.400	127.0.0.1:54179	admin	REQUEST	OPEN f1	0.39 ms
17:28:07.400	127.0.0.1:54179	admin	OK	Database 'f1' was opened in 0.02 ms.	0.25 ms
17:28:07.401	127.0.0.1:54179	admin	REQUEST	DELETE rssf1.xml	0.26 ms
17:28:07.402	127.0.0.1:54179	admin	OK	0 resource(s) deleted in 0.8 ms.	1.57 ms
17:28:07.422	127.0.0.1:54179	admin	REQUEST	ADD TO RSS [...]	0.29 ms
17:28:07.445	127.0.0.1:54179	admin	OK	Resource(s) added in 16.59 ms.	22.81 ms
17:28:07.446	127.0.0.1:54179	admin	REQUEST	XQUERY <root>{ for $i in collection('f1')//item[position()<6] return <elem> {$i/title} {$i/pubDate} {$i/author} {$i/link} {$i/description} </elem>} </root>	0.39 ms
17:28:07.456	127.0.0.1:54179	admin	OK	Query executed in 9.27 ms.	9.88 ms
17:28:09.187	127.0.0.1:54179	admin	REQUEST	ADD TO RSS [...]	0.21 ms
17:28:09.201	127.0.0.1:54179	admin	OK	Resource(s) added in 10.21 ms.	14.31 ms
17:28:09.202	127.0.0.1:54179	admin	REQUEST	XQUERY <root>{ for $i in collection('f1')//item[position()<6] return <elem> {$i/title} {$i/pubDate} {$i/author} {$i/link} {$i/description} </elem>} </root>	0.61 ms
